City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tereze,0,RU,1594101948,37,43.94,42.44,82.4,2.24
Saint Anthony,1,US,1594101543,78,45.02,-93.22,75.2,3.36
São João da Barra,0,BR,1594101522,88,-21.64,-41.05,68.16,6.51
Lakes Entrance,75,AU,1594101949,74,-37.88,147.98,57.0,6.8
Cervo,96,ES,1594101949,83,43.67,-7.41,63.0,1.99
Brandenburg,8,DE,1594101949,79,52.42,12.55,55.99,1.01
Goderich,0,CA,1594101949,77,43.75,-81.72,72.0,9.71
San Jose de Guanipa,100,VE,1594101950,86,8.89,-64.17,75.56,9.57
Peleduy,94,RU,1594101950,66,59.63,112.74,67.1,5.61
Lata,0,PT,1594101503,98,40.16,-8.33,64.0,1.5
Guerrero Negro,0,MX,1594101540,76,27.98,-114.06,69.08,9.04
Yarim,78,YE,1594101665,38,14.3,44.38,70.47,5.68
Zhigansk,74,RU,1594101950,54,66.77,123.37,56.71,5.14
Constitución,74,CL,1594101507,74,-35.33,-72.42,47.3,3.27
Acheng,40,CN,1594101951,53,45.55,126.98,75.2,15.66
Sfântu Gheorghe,83,RO,1594101951,83,45.87,25.78,57.0,4.0
Viedma,0,AR,1594101803,81,-40.81,-63.0,36.27,4.9
Ludvika,99,SE,1594101951,76,60.15,15.19,52.0,10.29
Santa Vitória do Palmar,100,BR,1594101951,79,-33.52,-53.37,46.33,6.2
Candolim,75,IN,1594101951,88,15.52,73.76,82.4,13.87
Okha,100,RU,1594101531,97,53.57,142.95,51.4,11.36
Keuruu,75,FI,1594101951,87,62.27,24.7,57.99,14.99
Neuquén,75,AR,1594101951,93,-38.95,-68.06,39.2,4.7
Gannan,1,CN,1594101951,25,47.91,123.5,83.07,10.09
Mondeville,9,FR,1594101952,93,49.17,-0.32,53.6,5.82
Asău,77,RO,1594101514,80,46.43,26.4,72.0,4.68
Aksarka,22,RU,1594101526,41,66.56,67.8,80.47,8.9
Pangnirtung,49,CA,1594101554,77,66.15,-65.71,42.35,1.95
Dubti,55,ET,1594101952,28,11.74,41.09,93.61,8.39
Brezniţa-Motru,18,RO,1594101952,98,44.57,23.22,72.0,12.59
Benguela,3,AO,1594101952,67,-12.58,13.41,67.01,4.38
Dunedin,99,NZ,1594101952,84,-45.87,170.5,46.0,5.01
Bairiki Village,40,KI,1594101525,70,1.33,172.98,86.0,9.17
Ukiah,1,US,1594101602,51,39.15,-123.21,62.6,11.41
Te Anau,90,NZ,1594101538,89,-45.42,167.72,39.65,7.23
Sioux Lookout,20,CA,1594101526,77,50.1,-91.92,66.2,3.36
Williston,68,US,1594101953,77,48.15,-103.62,66.99,6.33
Togur,67,RU,1594101953,48,58.36,82.83,76.03,9.66
Ancud,94,CL,1594101520,100,-41.87,-73.82,37.99,2.24
Broken Hill,0,AU,1594101781,54,-31.95,141.43,53.6,12.75
Youghal,75,IE,1594101953,93,51.95,-7.85,55.0,18.34
Nome,90,US,1594101333,87,64.5,-165.41,48.2,11.41
Natal,18,BR,1594101954,100,-5.79,-35.21,69.8,4.7
Kruisfontein,59,ZA,1594101506,74,-34.0,24.73,56.95,23.71
Newport,29,GB,1594101954,88,51.59,-3.0,60.01,1.01
Dīr,59,PK,1594101954,29,35.21,71.88,84.24,6.17
Taoudenni,0,ML,1594101526,11,22.68,-3.98,93.43,4.88
Quatre Cocos,75,MU,1594101954,88,-20.21,57.76,77.0,6.93
Gonbad-e Kāvūs,0,IR,1594101954,54,37.25,55.17,84.2,4.79
Ulaanbaatar,40,MN,1594101955,28,47.91,106.88,84.2,11.18
Sangar,16,RU,1594101955,33,63.92,127.47,67.71,5.64
Ūttukkuli,20,IN,1594101955,62,11.17,77.43,86.0,9.17
Krasnosel'kup,1,RU,1594101955,52,65.7,82.47,72.54,15.35
Baykalovo,4,RU,1594101955,61,57.4,63.77,78.53,3.06
San Jose,20,US,1594101912,59,37.34,-121.89,62.6,9.17
Alofi,28,NU,1594101504,83,-19.06,-169.92,75.2,6.93
Bontang,81,ID,1594101955,66,0.13,117.5,85.41,4.41
Rome,1,US,1594101955,64,43.21,-75.46,69.8,4.7
Phon,51,TH,1594101557,50,15.82,102.6,93.2,8.41
Karatau,0,KZ,1594101956,20,43.17,70.47,85.6,7.74
Cockburn Town,14,TC,1594101956,78,21.46,-71.14,83.28,18.79
Bagdarin,97,RU,1594101956,27,54.43,113.6,79.86,5.86
Samaná,98,DO,1594101956,86,19.21,-69.34,79.7,7.92
Pisco,40,PE,1594101548,93,-13.7,-76.22,60.01,2.24
Bambous Virieux,75,MU,1594101531,88,-20.34,57.76,77.0,6.93
Eséka,100,CM,1594101956,95,3.65,10.77,72.07,0.25
Chapais,90,CA,1594101892,48,49.78,-74.85,66.2,10.29
Malakanagiri,85,IN,1594101957,63,18.35,81.9,88.05,5.37
Saint-Pierre,90,RE,1594101957,94,-21.34,55.48,73.4,18.34
Oneida,1,US,1594101957,64,43.2,-75.47,69.8,4.7
Jiuquan,69,CN,1594101957,13,39.74,98.52,92.46,19.82
Ouro Preto do Oeste,62,BR,1594101957,73,-10.75,-62.22,72.59,0.96
Salisbury,1,GB,1594101930,93,51.07,-1.8,53.6,3.36
Smidovich,100,RU,1594101958,96,48.6,133.82,65.64,6.24
Sandviken,97,SE,1594101958,70,60.62,16.77,54.0,8.01
Prizren,75,XK,1594101958,88,42.21,20.74,66.99,5.82
Leeuwarden,75,NL,1594101958,87,53.2,5.81,57.99,6.93
Comodoro Rivadavia,0,AR,1594101492,80,-45.87,-67.5,35.6,8.05
Nyurba,16,RU,1594101958,39,63.28,118.33,68.27,4.41
Elizabeth City,1,US,1594101959,94,36.29,-76.25,78.01,3.36
Ndélé,100,CF,1594101526,90,8.41,20.65,72.19,4.92
Yerbogachën,99,RU,1594101521,84,61.28,108.01,59.13,8.19
Fügen,54,AT,1594101959,88,47.35,11.85,53.01,1.66
Bariloche,75,AR,1594101959,95,-41.15,-71.31,32.0,4.7
Maumere,20,ID,1594101959,66,-8.62,122.21,83.16,8.28
Coahuayana Viejo,95,MX,1594101959,82,18.73,-103.68,78.87,1.48
Weiser,20,US,1594101959,29,44.25,-116.97,78.8,19.46
Wad Medani,100,SD,1594101960,71,14.4,33.52,77.43,20.24
Vincennes,0,FR,1594101960,76,48.85,2.43,55.99,0.49
Pringsewu,92,ID,1594101960,75,-5.36,104.97,80.56,3.76
Aripuanã,5,BR,1594101960,69,-9.17,-60.63,71.83,1.9
Ongandjera,0,NA,1594101960,41,-17.88,15.07,50.45,7.27
Mendoza,40,AR,1594101960,86,-32.89,-68.83,41.0,4.94
Butterworth,20,MY,1594101960,79,5.4,100.36,86.0,8.05
Kroya,50,ID,1594101961,72,-7.63,109.25,82.56,13.67
Karaton,20,ID,1594101961,59,-6.34,106.1,89.6,12.75
Poya,98,NC,1594101961,62,-21.35,165.15,70.75,6.87
Westport,90,US,1594101961,83,41.14,-73.36,69.8,9.17
Sorong,50,ID,1594101961,83,-0.88,131.25,81.23,10.47
Toamasina,20,MG,1594101962,78,-18.17,49.38,71.6,16.11
Amga,96,RU,1594101962,44,60.9,131.96,69.93,0.18
Havre-St-Pierre,75,CA,1594101557,100,50.23,-63.6,53.6,3.36
Saldanha,33,ZA,1594101506,81,-33.01,17.94,50.0,2.24
Kudahuvadhoo,98,MV,1594101962,74,2.67,72.89,84.2,10.07
Qingdao,0,CN,1594101801,52,36.1,120.37,93.0,8.95
Bowen,90,AU,1594101543,68,-20.02,148.23,73.0,14.99
Luocheng,96,CN,1594101962,52,29.38,104.03,90.09,4.74
Valparaíso,55,CL,1594101962,100,-33.04,-71.63,41.0,2.24
Mount Gambier,90,AU,1594101525,76,-37.83,140.77,53.6,5.82
Mariehamn,90,AX,1594101963,82,60.1,19.93,55.4,8.05
Yārāda,75,IN,1594101963,70,17.65,83.27,89.6,10.29
Katobu,36,ID,1594101525,84,-4.94,122.53,81.16,8.7
Santa Fe,83,AR,1594101963,82,-31.63,-60.7,46.99,1.99
Filingué,0,NE,1594101963,49,14.35,3.32,87.13,13.44
Foki,0,RU,1594101963,61,56.69,54.35,81.1,2.1
Maniitsoq,100,GL,1594101964,95,65.42,-52.9,41.02,14.72
Skała,99,PL,1594101964,71,50.23,19.85,57.2,6.93
Chimoio,40,MZ,1594101521,100,-19.12,33.48,53.6,4.7
Itaituba,71,BR,1594101964,66,-4.28,-55.98,77.11,0.98
Sabha,0,LY,1594101964,50,27.04,14.43,74.28,11.61
Nova Viçosa,2,BR,1594101964,88,-17.89,-39.37,70.57,1.12
Uspenka,0,UA,1594101964,38,48.39,39.16,85.39,13.4
Hurricane,1,US,1594101964,4,37.18,-113.29,89.6,10.29
Ayagoz,30,KZ,1594101964,46,47.97,80.44,73.98,9.53
Petropavlovsk-Kamchatskiy,20,RU,1594101965,64,53.05,158.65,71.6,15.66
Kallupatti,94,IN,1594101965,39,9.72,77.87,96.8,10.29
Mackenzie,40,CA,1594101965,82,55.3,-123.17,57.2,2.24
Aykhal,90,RU,1594101965,76,66.0,111.5,48.2,8.95
Tacuarembó,90,UY,1594101965,95,-31.73,-55.98,40.08,7.05
Udachny,90,RU,1594101538,76,66.42,112.4,48.2,8.95
Saryozek,34,KZ,1594101965,26,44.36,77.98,78.01,3.24
Arlit,0,NE,1594101965,12,18.74,7.39,88.72,8.1
Bilāsipāra,60,IN,1594101966,64,26.23,90.23,90.66,3.38
Ozernovskiy,98,RU,1594101966,85,51.5,156.52,53.46,2.39
Chapada dos Guimarães,0,BR,1594101966,64,-15.46,-55.75,73.4,2.24
Upernavik,74,GL,1594101532,70,72.79,-56.15,42.12,9.35
Kimbe,51,PG,1594101966,78,-5.55,150.14,83.88,3.56
Ulundi,0,ZA,1594101966,27,-28.34,31.42,63.34,7.63
Mozarlândia,0,BR,1594101966,51,-14.74,-50.57,67.87,5.1
Bulalacao,78,PH,1594101967,69,12.33,121.34,86.47,14.76
Nipawin,1,CA,1594101967,67,53.37,-104.0,60.8,6.93
La Asuncion,34,VE,1594101967,94,11.03,-63.86,78.8,6.93
Pangai,75,TO,1594101967,83,-19.8,-174.35,78.8,16.11
Port Moresby,40,PG,1594101317,70,-9.44,147.18,86.0,17.22
Naduvattam,100,IN,1594101967,86,11.48,76.57,65.7,5.7
Yerraguntla,20,IN,1594101967,55,14.64,78.54,91.4,10.29
Yeppoon,17,AU,1594101967,38,-23.13,150.73,75.2,9.17
Fereydūnkenār,9,IR,1594101968,55,36.69,52.52,86.0,4.7
Long Xuyen,29,VN,1594101827,66,10.38,105.42,88.47,7.34
Heide,35,DE,1594101968,75,54.2,9.1,57.0,4.0
Wewak,93,PG,1594101968,77,-3.55,143.63,83.08,10.27
Menongue,21,AO,1594101968,53,-14.66,17.69,45.82,2.73
Zabid,51,YE,1594101968,50,14.2,43.32,91.99,4.94
Maningrida,25,AU,1594101968,49,-12.07,134.27,84.13,9.98
Hoquiam,90,US,1594101968,87,46.98,-123.89,57.2,11.41
Klyuchi,95,RU,1594101969,45,52.27,79.17,76.84,7.36
Belém,20,BR,1594101969,88,-1.46,-48.5,77.0,2.24
Aksu,0,CN,1594101969,12,41.12,80.26,87.39,2.82
Matara,61,LK,1594101969,74,5.95,80.54,83.88,13.58
Ocós,100,GT,1594101969,83,14.51,-92.19,80.19,11.32
Buta,100,CD,1594101969,95,2.79,24.73,71.35,0.58
